(-7.758950305555894, 60.2013098440859)
(-2.7210186355298838, 7.403942414900911)
(-1.4007320649732513, 1.9620503178442288)
(6.994884826285407, 48.92841373299783)
(-0.959436820865422, 0.920519013232348)
(6.2069726914015035, 38.526509991804026)
(1.1824974991891057, 1.398300335588489)
(9.08178578273909, 82.47883300356186)
(-4.079322444679034, 16.640871607662135)
(5.461091238657405, 29.823517516940665)
(2.446838570509602, 5.987018990133472)
(-0.47736806465699644, 0.22788026915436632)
(-4.370229536535771, 19.098906202009655)
(-2.1466472655778857, 4.608094482813014)
(3.0662534114210622, 9.401909983051302)
(-5.529992414824976, 30.58081610802177)
(9.68155196705829, 93.73244849085025)
(-7.523405659474833, 56.60163271701795)
(2.7680695053761717, 7.662208786593483)
(4.140643654016467, 17.144929869546836)
(0.30871040113741444, 0.09530211177042333)
(6.692170270326379, 44.78514292704024)
(2.530541268679201, 6.40363911248854)
(-0.8602596316226361, 0.7400466337995135)
(3.2458834990874337, 10.535759689648081)
(-6.478172833147617, 41.96672325613183)
(-8.050521397432357, 64.81089477051623)
(7.657944786537499, 58.64411835365686)
(9.553250940505187, 91.26460353226324)
(2.6116514488220623, 6.820723290134377)
(-8.89901329709074, 79.1924376617978)
(-1.9378988161733233, 3.7554518217259676)
(0.0598777960420982, 0.0035853504588591106)
(-9.603147358447943, 92.22043918806571)
(6.570106945270705, 43.16630527229436)
(7.325126093633266, 53.657472287626945)
(-9.41386830592457, 88.62091648129113)
(4.4124800686931565, 19.469980356614364)
(-9.06023552270884, 82.08786772695512)
(-9.066729844388615, 82.20559007112719)
(8.040797549415558, 64.65442523068724)
(-8.241965840358276, 67.9300009136327)
(0.9482619310707125, 0.8992006899179568)
(-0.305761224105936, 0.09348992616676041)
(4.228779754967446, 17.882578216022534)
(7.410775915138238, 54.91959966439299)
(-2.4724790818362568, 6.113152810117859)
(3.2994642229024773, 10.886464158213448)
(-1.33521928300841, 1.7828105337174924)
(5.4424841901289085, 29.62063415980312)
(7.654656311183, 58.593763242333736)
(0.9132456600040371, 0.8340176355162092)
(-3.3146907689559946, 10.987174893802083)
(-0.2393958510187293, 0.05731037348498163)
(8.77276964526553, 76.9614872488923)
(-3.0292282829686767, 9.176223990337357)
(6.961489584047495, 48.462337228801765)
(0.2671017721367335, 0.07134335667858349)
(-3.3246857655218847, 11.05353543946384)
(3.027312748573106, 9.164622477673253)
(-7.248570169639206, 52.54176950418334)
(-7.349736085451896, 54.018620525793764)
(-3.304583153762721, 10.92026982013237)
(-7.729601346776946, 59.74673698009598)
(5.875723163279108, 34.524122691494654)
(7.681004801803191, 58.997834765323674)
(3.82991403150292, 14.668241488702948)
(-4.743371713136195, 22.499575208980602)
(-7.136182337414569, 50.92509835282766)
(-4.391484504890244, 19.285136156691106)
(2.3608386655667175, 5.573559204834839)
(-2.4902191403012726, 6.201191366722809)
(5.935947775012272, 35.23547598767314)
(7.387657594497586, 54.57748473353786)
(7.188004792200694, 51.66741289270014)
(0.373566310499724, 0.1395517883403762)
(4.401170203286808, 19.370299158299645)
(-7.0988567504417555, 50.39376716329248)
(-1.284186334038992, 1.6491345405325057)
(3.5601194208242397, 12.67445029052992)
(-4.682344908499612, 21.92435384215224)
(-2.595173523769523, 6.734925618474322)
(-5.22553605862333, 27.30622709997265)
(-9.99303686320841, 99.86078574944217)
(-3.1084571112121084, 9.662505612245127)
(0.06430353268465083, 0.004134944315725958)
(-6.251198885709243, 39.077487508692485)
(-8.805341881730318, 77.53404565415401)
(2.622272398275358, 6.876312530756799)
(-1.1715575416503796, 1.372547073397881)
(9.966375920488979, 99.32864898850254)
(-8.456892598175651, 71.51903241707811)
(9.07275550109576, 82.31489238266336)
(-6.65886102851446, 44.340430197068656)
(8.236997524420211, 67.84812821730468)
(-7.024971263167434, 49.35022124832826)
(-5.678920388597913, 32.25013678003307)
(-4.440037094632345, 19.713929401711233)
(-9.848024059836494, 96.98357788311846)
(-9.28901749453354, 86.28584601375017)
